,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,57.99,16.23,27.72,24.64,33.27,28.31,64.50,0.58,152.77,0.74
K MEANS++,57.99,16.23,27.72,24.64,33.27,28.31,64.50,0.58,152.77,0.74
K MEANS BISECT,53.92,8.26,20.31,16.98,27.57,21.01,63.93,0.59,135.35,0.70
HIERARCHY,57.99,16.23,27.72,24.64,33.27,28.31,64.50,0.58,152.77,0.74
FUZZY_C,58.79,17.82,29.01,26.00,34.29,29.58,64.79,0.58,151.94,0.75
SPECTRAL,59.63,19.46,25.54,23.60,29.23,26.11,64.35,0.56,150.64,0.77
DBSCAN AUTO,50.11,0.92,7.50,6.91,16.82,9.80,66.09,0.58,42.20,1.17
DBSCAN MANUAL,49.74,0.30,4.98,3.86,16.55,6.27,67.83,0.62,44.99,0.48
HDBSCAN MANUAL,49.69,0.19,3.28,3.86,14.62,6.11,67.77,0.59,23.04,0.53
MEAN SHIFT,52.86,6.19,17.90,14.61,25.78,18.65,64.14,0.60,127.52,0.67
OPTICS AUTO,71.96,43.90,34.13,36.38,34.06,35.18,71.42,0.18,33.86,1.42
AFFINITY,50.88,2.29,6.84,12.32,15.24,13.63,63.27,0.49,20.43,1.12
BIRCH,49.98,-0.30,-0.05,1.34,0.90,1.07,42.21,-0.09,17.98,2.03
